language,title,author,lyrics
indonesia,Besarlah Allahku,Carl G. Boberg,"O Tuhanku, bila ku mengagumi
semesta alam yang Kau ciptakan,
bintang-bintang dan guruh bersahutan
menyatakan kuasa-Mu Tuhan.

Maka jiwaku pun memuji-Mu,
sungguh besar Kau Allahku.
Maka jiwaku pun memuji-Mu,
sungguh besar kau Allahku.

Ya Tuhanku, apabila kurenungkan
pemberian-Mu dalam Penebus,
dan di salib bebanku ditanggung-Nya,
darah kudus menghapus dosaku.

Apabila nanti Kristus memanggilku,
sukacitaku amatlah besar.
ku kan sujud menyembah dengan gentar,
dan berkata, ""Sungguhlah Kau besar."""
english,How Great Thou Art,Carl G. Boberg,"O Lord my God, when I in awesome wonder
Consider all the worlds Thy hands have made,
I see the stars, I hear the rolling thunder,
Thy power throughout the universe displayed.

Then sings my soul, my Saviour God to Thee
How great Thou art! How great Thou art!
Then sings my soul, my Saviour God to Thee
How great Thou art! How great Thou art!

And when I think of God, His Son not sparing
Sent Him to die, I scarce can take it in,
That on the cross my burden gladly bearing,
He bled and died to take away my sin.

When Christ shall come with shouts of acclamation
And lead me home, what joy shall fill my heart!
Then I shall bow with humble adoration,
And then proclaim: ""My God, how great Thou art!"""
indonesia,Agungkan Kuasa Nama-Nya,John Rippon,"Agungkan kuasa nama-Nya, malaikat bersujud.
Nobatkan Raja mulia dan puji Tuhanmu!
Nobatkan Raja mulia dan puji Yesus Tuhanmu!

Kaum Israel pilihan-Nya, dosamu ditebus!
Mesiasmu terimalah dan puji Tuhanmu!
Mesiasmu terimalah dan puji Yesus Tuhanmu!

Yang mati karena nama-Nya, hai martir yang kudus,
Di dalam salib bermegah dan puji Tuhanmu!
Di dalam salib bermegah dan puji Yesus Tuhanmu!

Hai bangsa-bangsa dunia, sekarang bertelut;
Akui Kerajaan-Nya dan puji Tuhanmu!
Akui Kerajaan-Nya dan puji Yesus Tuhanmu!"
indonesia,Terpujilah Nama Yesus,Edward Perronet,"Terpujilah nama Yesus,
sujud malaikat-Nya, malaikat-Nya semua,
sembahkan mahkota mulia.
Beri hor...mat, hormat, hormat!
Berilah hormat kepada-Nya.

Segala bangsa di atas bumi
sujud dan berbakti, berbakti pada-Nya,
berlutut dan muliakan Dia.

Hormat, mulia, kuasa, hikmat
bagi domba Allah yang menebus kita.
Terpujilah Penebus kita.

Bersama umat-Nya yang kudus,
kita pun bersujud, bersujud pada-Nya.
Terpujilah Penebus kita."
indonesia,Rajakanlah Yesus,G. Thring,"Rajakanlah Yesus, Domba di takhta-Nya.
dengarlah suara pujian kumandang di surga.
bangunlah jiwaku, bersama pujilah.
Tuhan yang mati bagiku, pujilah selamanya!

Mahkotailah Tuhan, Raja Kehidupan.
sorakkanlah kemenangan atas keselamatan.
muliakanlah Dia, yang mati dan bangkit,
serta menganugerahkan kehidupan yang kekal.

Tuhan Raja damai, kuasa-Nya besar.
di tengah ancaman perang, doa terus terdengar.
Kerajaan-Nya kekal, milik-Nya selamanya.
darah-Nya yang telah tercurah berkenan di surga.

Mahkotailah Tuhan, Raja Mahakasih.
ternyatalah kuasa-Nya indah dan mulia.
pujilah Penebus yang mati bagiku.
puji dan muliakan Tuhan selama-lamanya!"
english,Worthy of Worship,Terry W. York,"Worthy of worship, worthy of praise,
Worthy of honor and glory,
Worthy of all the glad songs we can sing,
Worthy of all of the offerings we bring.

You are worthy, Father, Creator.
You are worthy, Savior, Sustainer.
You are worthy, worthy and wonderful,
Worthy of worship and praise.

Worthy of reverence, worthy of fear,
Worthy of love and devotion,
Worthy of bowing and bending of knees,
Worthy of all this and added to these.

Almighty Father, Master and Lord,
King of all kings and Redeemer,
Wonderful Counselor, Comforter, Friend,
Savior and Source of our life without end."
indonesia,Puji! Puji!,Fanny J. Crosby,"Puji! Puji! Yesuslah Juruselamatku.
Segenap bumi masyhurkan nama-Nya.
Puji! Puji! Yesus yang sudah bertakhta.
Berilah hormat, muliakan nama-Nya.
Yesus selalu menggembalakan kita;
Siang malam kasih-Nya pun serta.

Puji! Puji! Dan masyhurkanlah kasih Hu.
Puji Yesus selama-lamanya.

Puji! Puji! Yesuslah Juruselamatku,
Disalibkan bagi yang berdosa.
Puji! Puji! Juruselamat yang abadi,
Yang telah tanggung segala dosaku.
Puji nama-Nya, Penghibur yang sejati;
Rahmat kasih Tuhan tak terduga.

Puji! Puji! Yesuslah Juruselamatku.
Tentara surga bersorak gembira.
Puji! Puji! Juruselamatku yang mulia,
Yesus Tuhan, Raja, Imam, Nabi.
Dengan kuasa-Nya Yesus segera kembali;
Kuasa, mulia, bagi Hu selamanya"
english,Praise Him! Praise Him!,Fanny J. Crosby,"Praise Him! Praise Him! Jesus, our blessed Redeemer!
Sing, O Earth, His wonderful love proclaim!
Hail Him! hail Him! highest archangels in glory;
Strength and honor give to His holy Name!
Like a shepherd, Jesus will guard His children;
in His arms He carries them all day long.

Praise Him! Praise Him!
Tell of His excellent greatness.
Praise Him! Praise Him!
Ever in joyful song!

Praise Him! Praise Him! Jesus, our blessed Redeemer!
For our sins He suffered, and bled, and died.
He our Rock, our Hope of eternal salvation.
Hail Him! hail Him! Jesus the Crucified.
Sound His praises! Jesus who bore our sorrows;
love unbounded, wonderful, deep, and strong.

Praise Him! Praise Him! Jesus, our blessed Redeemer!
Heavenly portals loud with hosannas ring!
Jesus, Savior, reigneth forever and ever.
Crown Him! Crown Him! Prophet, and Priest, and King!
Christ is coming! Over the world victorious;
Power and glory unto the Lord belong."
indonesia,Walau Seribu Lidahku,Charles Wesley,"Walau seribu lidahku,
tak sampai ya Tuhan,
tak sampai ya Tuhan,
menyanyikan pujian Hu,
pujian Hu dan kemuliaan-Nya,
dan kemuliaan-Nya,
dan kemuliaan-Nya.

Nama Hu-lah menghiburkan,
memberanikan hati,
memberanikan hati,
sentosa dan kesukaan,
kesukaan Dia saja memberinya,
Dia saja memberinya,
Dia saja memberinya.

Nama yang amat mulia,
Yesus Juruselamat,
Yesus Juruselamat,
pada seluruh dunia,
ke sedunia hendak kumasyhurkan,
hendak kumasyhurkan,
hendak kumasyhurkan."
indonesia,Terpujilah Allah,Fanny J. Crosby,"Terpujilah Allah hikmat-Nya besar,
Begitu kasih-Nya tuk dunia cemar,
sehingga diberikan Putra-Nya kudus,
mengangkat manusia serta menebus.

Pujilah, pujilah! Dengarlah suara-Nya.
Pujilah, pujilah! Dengan sukacita.
Datang pada Bapa dalam Putra-Nya,
Ajaib karya-Nya, muliakan nama-Nya.

Tebusan sempurna karena dibayar
dengan darah Yesus yang tak bercemar.
Orang yang berdosa dijanjikan-Nya
beroleh ampunan saat percaya.

Sungguh amat besar karya hikmat-Nya,
hatiku bersuka karena Anak-Nya.
Kristus akan datang menjemput kita,
Penebus, Penyelamat kan kita lihat."
