language,title,author,lyrics
indonesia,Tuhan Allah Hadir,William T. Matson,"Tuhan Allah hadir dalam rumah ini,
mari sujud menyembah Dia.
Tunduk dan berbakti, hikmat dan sehati
Kepada Bapa Pengasih.
Pujilah, nama-Nya,
Besar anugurah-Nya, ajaiblah kasih-Nya.

Yesus Kristus hadir dalam rumah ini,
Hai, dengarkanlah sabda-Nya.
Umat yang ditebus, dosanya dihapus
Naikkan nyanyian kudus.
Pujilah, nama-Nya,
Umat yang telah bebas, dari segala dosa.

Rohul Kudus hadir dalam rumah ini,
Tinggal dalam hati kami.
Sucikanlah kami, jadikanlah bait Hu
Tuk genapi kehendak-Mu.
Pujilah, nama-Nya,
Sampai selamanya, di rumah yang baka."
english,God Is In His Temple,William T. Matson,"God is in his temple,
the almighty Father;
round his footstool
let us gather;
him with adoration serve,
the Lord most holy,
who hath mercy on the lowly;
let us raise hymns of praise
for his great salvation:
God is in his temple!

Christ comes to his temple,
we, his word receiving,
are made happy in believing;
lo! from sin delivered
he hath turned our sadness,
our deep gloom to light and gladness;
let us raise hymns of praise,
for our bonds are severed:
Christ comes to his temple.

Come and claim thy temple,
gracious Holy Spirit;
in our hearts thy home inherit;
make in us thy dwelling,
thy high work fulfilling,
into ours thy will instilling,
till we raise hymns of praise
beyond mortal telling,
in the eternal temple."
indonesia,O Kalam Yang Menjelma,William W. How,"O Kalam yang menjelma, budi dari surga,
Pancaran sinar yang mulia ku puji nama-Nya,
O Kebenaran baka, cahaya dari surga,
Terang seperti pelita tetap selamanya.

Sidang Hu yang kekasih diberiNya terang itu,
Sinar itu pun diberi kepada yang berkeluh.
Bagaikan peti intan isi kebenaran.
Lukisan dari surga Kristus Kalam baka.

O Tuhan jadikanlah sidang-Mu pelita,
Yang nyatakan terang-Mu kepada dunia,
Ajarlah kami ini menurut jalan-Mu.
Hingga masa tertentu berkumpul pada-Mu."
indonesia,Dari Lembah Sengsara-Mu,Martin Luther,"Dari lembah sengsaraku, ku berseru ya Tuhan,
Dengarlah suara hamba-Mu, doaku pun kabulkan.
Jika dosa kesalahanku, terus teringat oleh-Mu,
tak dapat ku bertahan.

Namun, ya Tuhan pada-Mu, terdapat pengampunan,
Dosa-dosaku Kau tebus, kasih-Mu Kau tunjukkan.
Tiada insan yang benar, tetapi rahmat-Mu besar,
terpujilah nama-Mu.

Ku menantikan-Mu teguh, rahmat-Mu ku dambakan,
Tak ku andalkan jasaku, firman-Mu ku harapkan.
Yang lebih dari pengawal,  tekun menunggu sang fajar,
ku tunggu Dikau Tuhan."
indonesia,Haruskah Ia Pikul Salib,Thomas Shepherd,"Haruskah Ia pikul salib,
tuk melepaskanku?
Ku pun harus pikul salib,
ikut teladan-Nya.

Ku rela memikul salibku,
tak kan kulepaskan.
Setia sampai jumpa Tuhan,
ku kan disambut-Nya.

Salib, mahkota yang mulia,
dan kebangkitan-Nya.
Malak surga menyambutku,
di tempat yang mulia."
indonesia,Kunyanyikan Kuasa-Nya,Isaac Watts,"Kunyanyikan kuasa-Nya yang tegakkan gunung,
Dan lautan luas terbentang dan langit menudung.
Kunyanyikan hikmat Tuhan yang atur semesta,
bulan pun turut perintah-Nya dan bintang taatlah.

Kunyanyikan kebaikan-Nya yang berkati bumi;
Dengan firman Dia mencipta dan baiklah adanya.
Terpancar keagungan-Mu dari ciptaan-Mu,
di langit atau di gunung kulihat mulia-Mu.

Seluruh bumi memuji kemuliaan-Mu;
Awan bergerak mengikuti perintah dari takhta-Mu.
Tuhan yang menopang dunia, sumber hidup kita,
Semua tempat di dunia di bawah kuasa-Nya."
english,I Sing The Mighty Power Of God,Isaac Watts,"I sing the mighty power of God,
that made the mountains rise,
That spread the flowing seas abroad,
and built the lofty skies.
I sing the wisdom that ordained
the sun to rule the day;
The moon shines full at Gods command,
and all the stars obey.

I sing the goodness of the Lord,
who filled the earth with food,
Who formed the creatures through the Word,
and then pronounced them good.
Lord, how Thy wonders are displayed,
wherever I turn my eye,
If I survey the ground I tread,
or gaze upon the sky.

There is not a plant or flower below,
but makes Thy glories known,
And clouds arise, and tempests blow,
by order from Thy throne;
While all that borrows life from Thee
is ever in Thy care;
And everywhere that we can be,
Thou, God, art present there."
indonesia,Di Hadapan Tuhan Yesus,Lars Stenback,"Di hadapan Tuhan Yesus,
betapa hina diriku,
Kubawa dosa-dosaku,
di hadapan Tuhan Yesus.

Di hadapan Tuhan Yesus,
tersungkur karena dosaku,
Kupuji Dia sebab darah-Nya,
di hadapan Tuhan Yesus.

Dosaku menentang-Mu,
Menekanku dengan berat,
Ku bebaslah dari murka-Mu,
di hadapan Tuhan Yesus.

Ya Yesus Kau hidupku,
wajah-Mu, arahkan padaku,
Tangan-Mulah selamatkanku,
saat maut menghadang."
indonesia,Biar Ku Tumbuh di Batang-Mu,Jan Jacob Lodewijk,"Biar ku tumbuh di batang-Mu
ya, Pokok Anggur yang benar,
supaya Kau hidupkan daku
menjadi ranting yang segar.
Jika Engkau beri berkat,
aku berbuah yang lebat.

Tak mungkin aku kan mandiri,
aku lemah di luar-Mu.
hanya di dalam-Mu sendiri,
limpahlah hidup bagiku.
Oleh-Mu buahku lebat,
yang tak berbuah dikerat.

Dengan-Mu saja ku bersatu,
tak tercerai sesaat pun.
kasih-Mu pandu di jalanku,
ku hidup oleh hidup-Mu.
Dengan salib-Mu ku menang,
jikalau Kauberi terang."
indonesia,Mari Puji Raja Surga,Henry F. Lyte,"Mari puji Raja Surga,
persembahan bawalah;
Ditebus-Nya jiwa raga,
maka puji nama-Nya;
Aleluia, Puji Dia,
Raja mulia, yang kekal!

Seperti Bapa yang Penyayang,
siapa kita Ia tahu;
tangan kasih-Nya menatang,
di tengah bahaya maut;
Aleluia, Puji Dia,
Raja penuh kemurahan!

Kita bagai bunga saja,
layu habis musimnya;
yang fana akan binasa,
Tapi Tuhan kekallah;
Aleluia, Puji Dia,
Tuhan Allah yang kekal!

Sujudlah hai tentara surga,
abdi Allah terdekat;
turut bintang, bulan, surya,
tiap waktu dan tempat;
Aleluia, Puji Dia,
Tuhan beserta kita!"
english,Praise My Soul The King Of Heaven,Henry F. Lyte,"Praise, my soul, the King of Heaven;
To His feet thy tribute bring.
Ransomed, healed, restored, forgiven,
evermore his praises sing:

Praise, Him, praise Him, alleluia!
Praise the everlasting King.
Fatherlike He tends and spares us,
Well our feeble frame He knows;

In His hands He gently bears us,
Rescues us from all our foes.
Praise Him, praise Him, alleluia!
Widely yet His mercy flows.

Frail as summers flower we flourish,
Blows the wind and it is gone;
But while mortals rise and perish,
Our God lives unchanging on.

Praise Him, praise Him, alleluia!
Praise the high Eternal One!
Angels, help us to adore Him,
Ye behold Him face to face;

Sun and moon, bow down before Him;
Dwellers all in time and space,
Praise Him, praise Him, alleluia!
Praise with us the God of grace."
indonesia,Dunia Bukan Rumahku,Arr. A. F. Brumley,"Dunia yang fana bukanlah rumahku,
hartaku di sana seberang langit biru;
malaikat melambai di pintu yang cerlang
Dalam dunia yang gelap ku tak lagi senang.

Mereka menantikan ku di surga terang,
Ku majulah terus dengan hati senang;
Ku tahu Tuhanlah yang pegang tanganku.
Dalam dunia yang gelap ku tak lagi senang.

Di negeri yang baka, di Kanaan permai,
saudara seiman tak usah berpisah;
Di sana nyanyi terus kaum suci yang menang
Dalam dunia yang gelap ku tak lagi senang."
