language,title,author,lyrics
indonesia,"Agungkan Allahmu, Junjungan Abraham",Thomas Olivers,"Agungkan Allahmu, junjungan Abraham,
Yang takhta rahmat-Nya teguh, Sang Raja Am!
Yang Ada, Yang Esa, dipuji, disembah
di surga dan di dunia selamanya!

Agungkan Allahmu, junjungan Abraham,
dan sumber sukacitaku, tempat tenteram.
Kutolak dunia dan harkat yang semu;
Allahku harta yang baka, Perisaiku!

Terjamin janji-Nya dan itu kupegang:
di sayap rajawalilah ku masuk terang.
Kelak tampak wajah-Nya, kupuji kuasa-Nya,
dan menyanyikan rahmat-Nya selamanya.

Di negeri baka bertakhta Pemenang,
Sang Raja Damai Dialah dan Raja Terang.
Kekal kuasa-Nya di Sion yang cerlang
bersama orang suci-Nya yang telah menang.

Yang sudah ditebus memuji Tuhannya,
""Sang Bapa, Putra, Roh Kudus terpujilah!""
Ya, Allah Abraham, Kau juga Allahku;
ku sujud dan penuh iman memuji-Mu."
indonesia,Ajarku dan Pimpinku,Will H. Houghton,"Ajarku dan pimpinku
membawa jiwa pada-Mu.
Banyaklah dalam dosa
sesat terbelenggu.
Siapa yang peduli,
siapa yang berdoa?
Sekarang kubawa jiwa,
hatiku gerakkanlah."
english,Lead Me,Will H. Houghton,"Lead me to some soul today,
O teach me, Lord, just what to say.
Friends of mine are lost in sin
and cannot find their way.
Few there are who seem to care
and few there are who pray.
Melt my heart and fill my life,
give me one soul today."
indonesia,Aku Milik Tuhan,Stephen Tong,"Aku milik Tuhan, selama-lamanya,
Sebelum dunia jadi, Ia telah memilih daku.
Dia mati dan bangkit menebus jiwa daku,
Aku milik Hu, tak berubah selamanya.

Aku milik Tuhan, selama-lamanya,
Dunia berguncanglah, hatiku tak kan gentar.
Sandar firman Tuhan, aku berpengharapan,
Aku milik Hu, tak berubah selamanya.

Aku milik Tuhan, selama-lamanya,
Roh Hu memeteraiku sampai ku jumpa Bapa.
Ia kuatkan, Ia hibur, Ia tak pernah tinggalkan,
Aku milik Hu, tak berubah selamanya."
indonesia,Allah Hadir,J. L. Black,"Dengan kuasa Roh Kudus-Nya,
Tuhan memberi berkat.
Tuhan hadir pada kita,
Lihat awan kasih-Nya.
Kami sujud dan berdoa, menanti suara-Mu.
Baharui hati kami, O curahkan anugerah.

Dalam tempat kudus ini,
kami rasa hadir-Nya.
Tuhan hadir dalam kita,
jiwa kami segarlah.

Kami bawa persembahan
ke hadirat-Mu, Tuhan.
Kasih-Mu sekarang nyalakan,
membakar hati kami.

Dengarkan, O Juruselamat,
doa kami naikkan.
Dari takhta karunia
curahkanlah anugerah."
english,God Is Here And That To Bless Us,J. L. Black,"God is here, and that to bless us
with the Spirit's quickening power.
See, the cloud already bending,
Waits to drop the grateful shower.
Let it come, O Lord, we pray Thee,
let the shower of blessing fall.
We are waiting, we are waiting,
Oh, revive the hearts of all.

God is here! we feel His presence
in this consecrated place.
But we need the soul refreshing
Of His free, unbounded grace.

God is here! oh, then, believing,
Bring to Him our one desire,
That His love may now be kindled,
Till its flame each heart inspire.

Savior, grant the prayer we offer,
while in simple faith we bow.
From the windows of Thy mercy,
Pour us out a blessing now."
indonesia,Allah Panggil Kaum Muda,Stephen Tong,"Allah panggil kaum muda masa kalut ini,
menjadi laskar Allah berserah jiwa raga,
yang harap kuasa baru, bukan hasrat diri;
Allah panggil kaum muda yang digerakkan-Nya.

Allah panggil kaum muda yang berhati berani,
berkorban untuk Yesus dan setia hati,
yang tak menyebut Tuhan dengan bibir saja;
Allah panggil kaum muda yang digerakkan-Nya.

Allah panggil kaum muda yang tak sayang diri,
rela serahkan hidupnya pada yang telah memberi,
supaya dibangunkan Kerajaan Allah;
Allah panggil kaum muda yang digerakkan-Nya."
english,Be Still For The Presence of The Lord,D. Evans,"Be still for the presence of the Lord
The Holy One is here
Come, bow before Him now
With reverence and fear
In Him no sin is found
We stand on holy ground
Be still for the presence of the Lord
The Holy One is here.

Be still for the glory of the Lord
Is shining all around
He burns with holy fire
With splendour He is crowned
How awesome is the sight
Our radiant King of light
Be still for the glory of the Lord
Is shining all around.

Be still for the power of the Lord
Is moving in this place
He comes to cleanse and heal
To minister His grace
No work too hard for Him
In faith receive from Him
Be still for the power of the Lord
is moving in this place."
indonesia,Amin,Sigismund Neukomm,"Amin,
Amin,
Amin.
Amin."
english,Before The Throne of God Above,Charitie Lees de Chenez,"Before the throne of God above,
I have a strong and perfect plea,
a great High Priest whose name is Love,
who ever lives and pleads for me.
My name is graven on His hands,
my name is written on His heart.
I know that while in heav'n He stands,
no tongue can bid me thence depart,
no tongue can bid me thence depart.

When Satan tempts me to despair,
and tells me of the guilt within,
upward I look and see Him there,
who made an end of all my sin.
Because the sinless Savior died,
my sinful soul is counted free.
For God, the just is satisfied,
to look on Him and pardon me,
to look on Him and pardon me.

Behold Him there! the risen Lamb!
my perfect, spotless righteousness,
the great unchangeable ""I AM"",
the King of glory and of grace!
One with Himself, I cannot die;
my soul is purchased by His blood,
my life is hid with Christ on high,
with Christ, my Savior and my God,
with Christ, my Savior and my God."
indonesia,Beban Terlepas di Kalvari,John M. Moore,"Hariku penuh khawatir, dan jiwaku penat.
Beban terlepas di kalvari, Yesus amat dekat.
Beban terlepas di Kalvari, Kalvari, Kalvari.
Beban terlepas di Kalvari, Yesus amat dekat.

Serahkan bimbangmu pada-Nya, dan segala takutmu.
Beban terlepas di kalvari, Yesus amat dekat.
Beban terlepas di Kalvari, Kalvari, Kalvari.
Beban terlepas di Kalvari, Yesus amat dekat.

Kau yang cucurkan air mata, Tuhan melihatnya.
Beban terlepas di kalvari, Yesus amat dekat.
Beban terlepas di Kalvari, Kalvari, Kalvari.
Beban terlepas di Kalvari, Yesus amat dekat."
indonesia,"Berdiamlah, Berdiamlah",Fanny J. Crosby,"Berdiamlah, berdiamlah, sembah sujud Dia.
Berdiamlah, terimalah sabda yang mulia.

Berjalan perlahan, Tuhan di sini.
Berjalan perlahan, sujud berbakti.

Berdiamlah, berdiamlah di tempat kudus.
Dengarlah firman Hu yang suci hidup."
indonesia,Beritakan Injil Selamanya,Stephen Tong,"Kasih Tuhan mendorong daku
memberitakan Injil-Nya,
pada umat yang hidup dalam dosa,
menghantar mereka pada Hu.
Hanyalah Kristus
Juruselamat yang hidup.
Kasih Tuhan mendorong daku
beritakan Injil-Nya selamanya."
